family,N,D,C_real,Nstar_P3,delta_vs_P3,delta_vs_chinchilla,delta_vs_Dstar
GPT2,1.5,40.0,3.6e+20,1.5965017659024192,-0.027078144196388848,-0.062469368304150064,-0.12917691527025688
OPT,0.13,300.0,2.34e+20,1.371845836142454,-1.0233619571145811,-1.0310739533744222,-0.16373361809584064
OPT,0.35,300.0,6.299999999999999e+20,1.957544924919646,-0.747643693389064,-0.8160116073527028,-0.23034703388288436
OPT,1.3,300.0,2.34e+21,3.254167751644285,-0.39849658465774535,-0.5310739533744223,-0.14417297716467875
OPT,2.7,300.0,4.860000000000001e+21,4.393648308861018,-0.21146152656073502,-0.3723637474483472,-0.076442132805015
OPT,6.7,300.0,1.206e+22,6.485868752717782,0.014106646607343065,-0.17500822817742767,-0.022740905003643896
OPT,13.0,300.0,2.34e+22,8.699596898494015,0.1744442225405749,-0.031073953374422425,-0.00035023269898992737
OPT,30.0,300.0,5.4e+22,12.714419179656359,0.37282472920374365,0.1505149978319904,0.014642974864755853
BLOOM,0.56,350.0,1.1760000000000001e+21,2.480016113702633,-0.6462664756221939,-0.7474250108400471,-0.24379896902906398
BLOOM,1.7,350.0,3.57e+21,3.8643391086514667,-0.35662630882741253,-0.5062945636540095,-0.1165677892892171
BLOOM,3.0,350.0,6.3e+21,4.901427368268326,-0.21320131671539205,-0.3829583969833161,-0.06842031012872368
BLOOM,7.1,350.0,1.491e+22,7.119035749158385,-0.0011628250892897762,-0.19588984998360925,-0.020180534517315718
Falcon,7.0,1500.0,6.3e+22,13.652208681489705,-0.29010487807218566,-0.5149816116887217,-0.020806843162772592
Falcon,40.0,1500.0,3.6e+23,30.94772203450494,0.11143130386046884,-0.13650063603186902,0.017680456517184195
Mistral,7.0,8000.0,3.36e+23,29.946024518989148,-0.6312411358241464,-0.8784809756568529,-0.020806843162772592
Yi,6.0,3000.0,1.08e+23,17.533506994359552,-0.4657175405514924,-0.698970004336019,-0.027613215236048094
Yi,34.0,3000.0,6.12e+23,39.86865450441737,-0.06915266220762151,-0.3223061710067123,0.015973405918257466
LLaMA,70.0,15000.0,6.3e+24,122.85291672166197,-0.2442874317589938,-0.5149816116887216,0.021676865316548444
Qwen2,32.0,18000.0,3.456e+24,91.8193752602517,-0.4577843551770928,-0.7245462655597097,0.01533366957514648
Qwen2,72.0,18000.0,7.776e+24,136.077703862373,-0.27645447606981755,-0.5484550065040286,0.021809882572287442
Gemma,9.0,8000.0,4.32e+23,33.759060888783935,-0.5741478474570715,-0.823908740944319,-0.011396066137535965
Cerebras-GPT,0.11,2050.0,1.353e+21,2.619174109110291,-1.3767716838712678,-1.4846655901167733,-0.14677265228495906
Cerebras-GPT,0.26,2050.0,3.198e+21,3.6913717873654033,-1.1522144406736992,-1.2978752587104767,-0.2149028601253506
Cerebras-GPT,0.59,2050.0,7.257e+21,5.207420320368319,-0.9457706218141055,-1.1199359268748137,-0.24331582100658966
Cerebras-GPT,1.3,2050.0,1.599e+22,7.341022164297551,-0.7518131830052619,-0.9483902565424672,-0.14417297716467875
Cerebras-GPT,2.7,2050.0,3.3210000000000006e+22,10.183093311594124,-0.5765159592339297,-0.7896800506163921,-0.076442132805015
Cerebras-GPT,6.7,2050.0,8.241e+22,15.461699918440443,-0.36318243750327994,-0.5923245313454726,-0.022740905003643896
Cerebras-GPT,13.0,2050.0,1.599e+23,21.076049258484957,-0.20984585261873856,-0.44839025654246734,-0.00035023269898992737
